Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 01346,427,,,182,0,17,30250,1346
ZCTA5 01347,175,,,94,0,0,40750,1347
ZCTA5 01349,1292,,,553,46,5,31569,1349
ZCTA5 01350,91,,,38,0,1,23125,1350
ZCTA5 01351,2099,,,1066,7,57,41250,1351
ZCTA5 01354,1608,,,623,0,158,39792,1354
ZCTA5 01355,949,,,367,0,31,37404,1355
ZCTA5 01360,2997,,,1287,0,33,36993,1360
ZCTA5 01364,7785,,,2641,25,203,25651,1364
ZCTA5 01366,1269,,,478,0,59,31042,1366
ZCTA5 01367,595,,,193,0,23,23906,1367
ZCTA5 01368,1170,,,537,0,6,36950,1368
ZCTA5 01370,4041,,,1546,0,152,30351,1370
ZCTA5 01373,4634,,,1997,50,179,41250,1373
ZCTA5 01375,3659,,,1635,399,27,37413,1375
ZCTA5 01376,5123,,,1791,30,210,27036,1376
ZCTA5 01378,773,,,291,0,41,35188,1378
ZCTA5 01379,830,,,286,5,39,24500,1379
ZCTA5 01420,40737,,,13919,322,593,26996,1420
ZCTA5 01430,6253,,,2803,0,212,44296,1430
ZCTA5 01431,3215,,,1512,0,103,42699,1431
ZCTA5 01432,7762,,,4112,0,123,51528,1432
ZCTA5 01434,1875,,,143,0,32,21642,1434
ZCTA5 01436,3392,,,1509,0,13,31732,1436
ZCTA5 01438,711,,,140,0,0,48138,1438
ZCTA5 01440,20555,,,7538,86,414,30071,1440
ZCTA5 01450,11301,,,4404,0,495,53049,1450
ZCTA5 01451,4625,,,1726,0,327,61250,1451
ZCTA5 01452,4642,,,2202,0,159,40691,1452
ZCTA5 01453,41579,,,16980,68,983,32133,1453
ZCTA5 01460,9935,,,4242,0,428,49161,1460
ZCTA5 01462,11271,,,4952,0,392,43562,1462
ZCTA5 01463,12083,,,5492,12,462,42170,1463
ZCTA5 01464,7598,,,2549,0,178,36036,1464
ZCTA5 01468,4024,,,2206,0,39,39489,1468
ZCTA5 01469,7632,,,3605,1,159,41329,1469
ZCTA5 01473,7665,,,3567,78,181,46622,1473
ZCTA5 01474,1823,,,768,0,105,33711,1474
ZCTA5 01475,10798,,,4644,12,191,34141,1475
ZCTA5 01501,16549,,,7625,14,275,40899,1501
ZCTA5 01503,3144,,,1399,0,70,36736,1503
ZCTA5 01504,9246,,,4798,0,159,40182,1504
ZCTA5 01505,4581,,,2021,0,222,43832,1505
ZCTA5 01506,3431,,,1550,0,110,42008,1506
ZCTA5 01507,13482,,,6013,16,400,45088,1507
ZCTA5 01510,13899,,,6287,0,306,34191,1510
ZCTA5 01515,2159,,,982,5,72,40338,1515
ZCTA5 01516,8794,,,4227,0,270,37967,1516
ZCTA5 01518,3919,,,1403,0,236,32761,1518
ZCTA5 01519,6741,,,3044,12,273,42302,1519
ZCTA5 01520,15645,,,7319,0,393,50288,1520
ZCTA5 01521,2539,,,1073,0,39,39276,1521
ZCTA5 01522,3176,,,1370,0,54,41929,1522
ZCTA5 01523,7749,,,2973,0,241,44773,1523
ZCTA5 01524,6902,,,3225,9,164,31972,1524
ZCTA5 01525,400,,,179,0,0,35625,1525
ZCTA5 01527,13630,,,5936,5,226,37267,1527
ZCTA5 01529,3242,,,1486,21,82,37209,1529
ZCTA5 01531,1298,,,500,3,61,43542,1531
ZCTA5 01532,14985,,,6871,20,802,52253,1532
ZCTA5 01534,6311,,,3018,0,211,42943,1534
ZCTA5 01535,4764,,,2169,41,92,34881,1535
ZCTA5 01536,7786,,,3242,0,259,45943,1536
ZCTA5 01537,2289,,,1167,1,31,32444,1537
ZCTA5 01540,11484,,,5416,34,83,37671,1540
ZCTA5 01541,3443,,,1555,0,183,54318,1541
ZCTA5 01542,2314,,,959,0,49,40684,1542
ZCTA5 01543,8586,,,4229,0,293,46769,1543
ZCTA5 01545,36666,,,15689,93,916,48659,1545
ZCTA5 01550,16894,,,6243,23,293,26121,1550
ZCTA5 01560,4401,,,1816,0,129,42981,1560
ZCTA5 01561,294,,,164,0,0,30727,1561
ZCTA5 01562,11913,,,5422,14,246,31775,1562
ZCTA5 01564,8052,,,3473,14,298,42099,1564
ZCTA5 01566,5618,,,2305,25,251,40715,1566
ZCTA5 01568,7762,,,3398,0,255,55092,1568
ZCTA5 01569,13939,,,6840,0,316,42964,1569
ZCTA5 01570,16971,,,6685,10,451,32168,1570
ZCTA5 01571,11682,,,4822,10,315,31427,1571
ZCTA5 01581,18982,,,7294,0,634,54009,1581
ZCTA5 01583,7676,,,2332,0,114,36635,1583
ZCTA5 01585,4574,,,1880,23,62,35070,1585
ZCTA5 01588,9775,,,4205,0,230,34201,1588
ZCTA5 01590,9385,,,4274,14,296,47605,1590
ZCTA5 01602,23854,,,9906,67,785,34166,1602
ZCTA5 01603,19336,,,6070,197,257,24268,1603
ZCTA5 01604,37468,,,13739,256,625,30402,1604
ZCTA5 01605,28820,,,7991,387,569,24475,1605
ZCTA5 01606,19729,,,8659,129,326,34651,1606
ZCTA5 01607,8583,,,3418,100,160,26888,1607
ZCTA5 01608,3639,,,650,98,82,18125,1608
ZCTA5 01609,21142,,,5148,201,440,21680,1609
ZCTA5 01610,23040,,,5189,544,578,16668,1610
ZCTA5 01611,2241,,,1114,0,60,40947,1611
ZCTA5 01612,4870,,,2088,33,189,44173,1612
ZCTA5 01701,32570,,,15280,130,1084,49574,1701
ZCTA5 01702,39149,,,14652,260,1082,30629,1702
ZCTA5 01718,813,,,277,0,42,52341,1718
ZCTA5 01719,5794,,,2447,11,241,53234,1719
ZCTA5 01720,22684,,,9333,34,662,61466,1720
ZCTA5 01721,17576,,,8084,7,469,55497,1721
ZCTA5 01730,14053,,,5533,35,494,61900,1730
ZCTA5 01731,2061,,,561,12,48,55132,1731
ZCTA5 01740,5236,,,2080,0,405,60000,1740
ZCTA5 01741,5186,,,1817,15,342,63326,1741
ZCTA5 01742,19350,,,5641,33,1112,68276,1742
ZCTA5 01745,588,,,210,0,0,68667,1745
ZCTA5 01746,14634,,,6259,13,628,54992,1746
ZCTA5 01747,5951,,,2474,0,180,44542,1747
ZCTA5 01748,17178,,,6790,6,736,70888,1748
ZCTA5 01749,19868,,,9034,15,642,40185,1749
ZCTA5 01752,39776,,,18142,82,1086,37858,1752
ZCTA5 01754,10600,,,5110,14,294,47914,1754
ZCTA5 01756,6068,,,2784,0,340,50504,1756
ZCTA5 01757,28862,,,12723,0,726,40556,1757
ZCTA5 01760,35763,,,14580,78,1202,55538,1760
ZCTA5 01770,4301,,,1629,0,220,67083,1770
ZCTA5 01772,9486,,,3894,0,469,61230,1772
ZCTA5 01773,4775,,,1491,10,349,63261,1773
ZCTA5 01775,7098,,,3086,0,328,60846,1775
ZCTA5 01776,18940,,,7266,57,874,66547,1776
ZCTA5 01778,13970,,,5246,42,822,68494,1778
ZCTA5 01801,40350,,,17759,295,1078,42476,1801
ZCTA5 01803,27059,,,11349,201,628,44364,1803
ZCTA5 01810,35609,,,13411,162,1599,58792,1810
ZCTA5 01821,33016,,,16185,202,391,41644,1821
ZCTA5 01824,25955,,,11533,100,727,51630,1824
ZCTA5 01826,31101,,,14243,96,679,37473,1826
ZCTA5 01827,3345,,,1543,0,137,52685,1827
ZCTA5 01830,26695,,,9968,437,297,31093,1830
ZCTA5 01832,23419,,,9215,337,485,32951,1832
ZCTA5 01833,8649,,,4208,49,260,54959,1833
ZCTA5 01834,6749,,,2909,32,278,36314,1834
ZCTA5 01835,13166,,,5967,8,320,35820,1835
ZCTA5 01840,5560,,,1029,136,150,16410,1840
ZCTA5 01841,48827,,,13801,764,718,20825,1841
ZCTA5 01843,25454,,,8533,362,153,24639,1843
ZCTA5 01844,50019,,,22585,204,875,34981,1844
ZCTA5 01845,30589,,,12401,45,1169,49620,1845
ZCTA5 01850,16267,,,5734,221,460,25075,1850
ZCTA5 01851,30574,,,12228,369,477,28607,1851
ZCTA5 01852,34939,,,12824,235,699,30531,1852
ZCTA5 01854,29561,,,9551,264,287,21620,1854
ZCTA5 01860,6839,,,2882,18,350,41754,1860
ZCTA5 01862,10223,,,4450,0,228,40454,1862
ZCTA5 01863,9131,,,3968,0,346,46378,1863
ZCTA5 01864,15642,,,7299,0,466,53170,1864
ZCTA5 01867,25048,,,10035,35,815,52063,1867
ZCTA5 01876,30807,,,14168,9,729,41903,1876
ZCTA5 01879,12345,,,6124,42,139,49903,1879
ZCTA5 01880,26648,,,11564,113,578,46318,1880
ZCTA5 01886,24194,,,10662,68,842,57835,1886
ZCTA5 01887,23658,,,11129,20,473,46494,1887
ZCTA5 01890,22677,,,7830,33,764,66917,1890
ZCTA5 01901,1759,,,205,123,0,20544,1901
ZCTA5 01902,49172,,,14007,2330,1374,26069,1902
ZCTA5 01904,17142,,,7183,380,383,39342,1904
ZCTA5 01905,25465,,,7855,1017,745,29542,1905
ZCTA5 01906,28165,,,11050,276,245,37192,1906
ZCTA5 01907,14950,,,5330,82,692,48608,1907
ZCTA5 01908,3495,,,1443,17,111,47368,1908
ZCTA5 01913,17378,,,7542,137,737,40547,1913
ZCTA5 01915,41731,,,15920,101,1313,36581,1915
ZCTA5 01921,8270,,,3243,0,444,59611,1921
ZCTA5 01922,3276,,,1151,0,142,32460,1922
ZCTA5 01923,27457,,,11981,18,540,40995,1923
ZCTA5 01929,3713,,,1324,0,176,48825,1929
ZCTA5 01930,30049,,,11423,169,850,33370,1930
ZCTA5 01937,174,,,0,0,0,7991,1937
ZCTA5 01938,13901,,,5628,1,572,41149,1938
ZCTA5 01940,13484,,,5662,0,509,54146,1940
ZCTA5 01944,5370,,,1630,0,383,51988,1944
ZCTA5 01945,20488,,,6924,195,1039,51754,1945
ZCTA5 01949,9779,,,3591,17,310,38864,1949
ZCTA5 01950,17990,,,6876,276,1088,53761,1950
ZCTA5 01951,3755,,,1493,36,349,49764,1951
ZCTA5 01952,9227,,,3513,33,326,35115,1952
ZCTA5 01960,52564,,,21891,311,726,36152,1960
ZCTA5 01966,7212,,,2645,0,257,40745,1966
ZCTA5 01969,6298,,,2719,0,264,41601,1969
ZCTA5 01970,43155,,,15215,739,1447,32100,1970
ZCTA5 01982,8020,,,2550,0,364,44400,1982
ZCTA5 01983,6551,,,2488,20,223,52319,1983
ZCTA5 01984,5208,,,1465,10,439,24596,1984
ZCTA5 01985,4581,,,1784,14,213,51892,1985
ZCTA5 02019,17016,,,8164,2,418,44488,2019
ZCTA5 02021,23134,,,8824,79,642,53851,2021
ZCTA5 02025,8449,,,2441,0,365,58206,2025
ZCTA5 02026,25360,,,9575,207,721,46782,2026
ZCTA5 02030,5987,,,1822,11,281,80461,2030
ZCTA5 02032,4455,,,1695,0,144,70917,2032
ZCTA5 02035,17535,,,7416,0,541,50199,2035
ZCTA5 02038,33022,,,14066,0,1399,50847,2038
ZCTA5 02043,23298,,,6812,68,932,56087,2043
ZCTA5 02045,10424,,,4271,92,380,48147,2045
ZCTA5 02048,23761,,,10589,12,661,47215,2048
ZCTA5 02050,26152,,,10888,125,600,41946,2050
ZCTA5 02052,12748,,,4066,64,709,62328,2052
ZCTA5 02053,13244,,,6244,1,553,53808,2053
ZCTA5 02054,8202,,,3583,0,168,48209,2054
ZCTA5 02056,11317,,,3810,7,436,49773,2056
ZCTA5 02061,10987,,,4290,48,349,58082,2061
ZCTA5 02062,29201,,,11890,181,590,42194,2062
ZCTA5 02066,18101,,,6529,0,911,51409,2066
ZCTA5 02067,18377,,,6538,12,656,61761,2067
ZCTA5 02072,28534,,,11765,159,557,34826,2072
ZCTA5 02081,19378,,,7220,48,490,48738,2081
ZCTA5 02090,15880,,,5005,9,704,63350,2090
ZCTA5 02093,11734,,,5017,9,314,50066,2093
ZCTA5 02108,4082,,,308,100,183,82340,2108
ZCTA5 02109,3853,,,512,69,177,71378,2109
ZCTA5 02110,2449,,,285,79,252,82798,2110
ZCTA5 02111,7926,,,496,71,216,22491,2111
ZCTA5 02113,7531,,,1050,84,220,62898,2113
ZCTA5 02114,13516,,,1668,343,402,64878,2114
ZCTA5 02115,29108,,,2076,1225,455,11132,2115
ZCTA5 02116,23118,,,3432,517,524,62952,2116
ZCTA5 02118,27830,,,3803,2017,705,39402,2118
ZCTA5 02119,28199,,,4671,3656,275,21120,2119
ZCTA5 02120,14928,,,1358,940,198,16027,2120
ZCTA5 02121,29919,,,5117,4195,187,20578,2121
ZCTA5 02122,25059,,,5947,2604,111,26981,2122
ZCTA5 02124,55821,,,12736,5145,581,27080,2124
ZCTA5 02125,34358,,,7609,3746,293,31644,2125
ZCTA5 02126,29591,,,6980,2908,232,28327,2126
ZCTA5 02127,36898,,,9784,5693,555,56764,2127
ZCTA5 02128,46927,,,7332,1278,529,26502,2128
ZCTA5 02129,19414,,,5147,1353,506,65555,2129
ZCTA5 02130,40377,,,8559,2541,1198,45781,2130
ZCTA5 02131,33771,,,10617,1910,524,36904,2131
ZCTA5 02132,28487,,,10301,688,681,47570,2132
ZCTA5 02134,19424,,,4043,1903,428,35299,2134
ZCTA5 02135,44760,,,13056,4623,1272,40170,2135
ZCTA5 02136,34223,,,10589,2252,368,30362,2136
ZCTA5 02138,38835,,,5442,1505,1923,41536,2138
ZCTA5 02139,38272,,,5394,2494,1684,41411,2139
ZCTA5 02140,21338,,,4347,980,965,51313,2140
ZCTA5 02141,14052,,,2421,781,372,41741,2141
ZCTA5 02142,3294,,,303,46,104,54750,2142
ZCTA5 02143,26151,,,5764,1944,1093,46383,2143
ZCTA5 02144,25277,,,6307,896,731,55222,2144
ZCTA5 02145,26868,,,7097,1832,699,36952,2145
ZCTA5 02148,61354,,,16786,1844,935,32509,2148
ZCTA5 02149,45596,,,12657,2770,741,29397,2149
ZCTA5 02150,39842,,,8933,2819,403,25850,2150
ZCTA5 02151,53976,,,15675,1516,575,29701,2151
ZCTA5 02152,18535,,,5869,432,317,38537,2152
ZCTA5 02155,59793,,,20235,2040,1374,43920,2155
