Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 16617,2781,,,1192,0,14,30385,16617
ZCTA5 16619,317,,,105,0,0,26118,16619
ZCTA5 16620,343,,,110,0,3,25813,16620
ZCTA5 16621,715,,,278,0,17,25885,16621
ZCTA5 16622,169,,,39,0,0,22500,16622
ZCTA5 16623,590,,,161,0,18,23958,16623
ZCTA5 16624,189,,,49,0,1,30938,16624
ZCTA5 16625,3738,,,1580,0,15,25123,16625
ZCTA5 16627,2138,,,745,4,33,22328,16627
ZCTA5 16630,4747,,,1681,4,50,26144,16630
ZCTA5 16633,319,,,78,0,0,28036,16633
ZCTA5 16634,340,,,139,0,4,25909,16634
ZCTA5 16635,12289,,,4687,55,158,28113,16635
ZCTA5 16636,781,,,313,0,11,31111,16636
ZCTA5 16637,2453,,,845,0,29,23016,16637
ZCTA5 16638,32,,,13,0,0,46250,16638
ZCTA5 16639,1528,,,531,0,0,24388,16639
ZCTA5 16640,783,,,243,0,32,24423,16640
ZCTA5 16641,2457,,,919,2,23,27738,16641
ZCTA5 16645,163,,,77,0,4,25625,16645
ZCTA5 16646,2331,,,903,7,42,29241,16646
ZCTA5 16647,720,,,240,12,23,24345,16647
ZCTA5 16648,14922,,,6067,0,226,32299,16648
ZCTA5 16650,1897,,,615,0,29,24982,16650
ZCTA5 16651,5652,,,1205,0,34,20731,16651
ZCTA5 16652,18181,,,4735,6,255,22276,16652
ZCTA5 16655,1438,,,561,0,42,27912,16655
ZCTA5 16656,1178,,,404,0,21,22031,16656
ZCTA5 16657,1293,,,434,0,6,24155,16657
ZCTA5 16659,301,,,122,0,2,22692,16659
ZCTA5 16661,861,,,317,0,16,22736,16661
ZCTA5 16662,5516,,,1776,0,111,29556,16662
ZCTA5 16664,2067,,,703,10,77,24924,16664
ZCTA5 16665,294,,,125,0,5,28417,16665
ZCTA5 16666,3223,,,1393,0,15,22440,16666
ZCTA5 16667,1533,,,511,0,8,21868,16667
ZCTA5 16668,3293,,,1297,0,22,25541,16668
ZCTA5 16669,1994,,,742,0,47,28269,16669
ZCTA5 16670,54,,,21,0,0,33542,16670
ZCTA5 16671,512,,,154,0,0,27656,16671
ZCTA5 16672,207,,,59,0,2,14821,16672
ZCTA5 16673,5587,,,2351,15,123,30147,16673
ZCTA5 16674,703,,,190,0,11,21402,16674
ZCTA5 16677,263,,,132,0,0,18313,16677
ZCTA5 16678,2585,,,834,0,50,24574,16678
ZCTA5 16679,761,,,249,8,12,20635,16679
ZCTA5 16680,398,,,131,0,14,26023,16680
ZCTA5 16682,23,,,9,0,0,29479,16682
ZCTA5 16683,348,,,164,0,4,28516,16683
ZCTA5 16685,122,,,36,0,2,21563,16685
ZCTA5 16686,13268,,,5052,57,189,27186,16686
ZCTA5 16689,487,,,167,0,0,28750,16689
ZCTA5 16691,320,,,138,0,6,20714,16691
ZCTA5 16692,674,,,256,0,11,21667,16692
ZCTA5 16693,4189,,,1430,0,96,26216,16693
ZCTA5 16694,113,,,28,0,2,21667,16694
ZCTA5 16695,1104,,,423,8,7,25190,16695
ZCTA5 16701,17297,,,6178,140,310,24590,16701
ZCTA5 16720,1250,,,421,0,17,25769,16720
ZCTA5 16724,107,,,33,0,6,17308,16724
ZCTA5 16725,313,,,163,0,20,18958,16725
ZCTA5 16726,731,,,280,0,4,30000,16726
ZCTA5 16727,186,,,68,0,0,28125,16727
ZCTA5 16728,54,,,23,0,0,43000,16728
ZCTA5 16729,915,,,342,0,6,22255,16729
ZCTA5 16730,60,,,26,0,0,36827,16730
ZCTA5 16731,2437,,,856,12,19,27143,16731
ZCTA5 16732,283,,,134,0,0,33603,16732
ZCTA5 16733,235,,,69,0,0,22273,16733
ZCTA5 16734,270,,,96,0,3,19250,16734
ZCTA5 16735,5743,,,1981,11,84,25653,16735
ZCTA5 16738,2507,,,534,0,18,21920,16738
ZCTA5 16740,1077,,,378,2,15,20979,16740
ZCTA5 16743,3889,,,1373,0,107,26957,16743
ZCTA5 16744,208,,,57,0,0,28750,16744
ZCTA5 16745,555,,,203,0,9,26850,16745
ZCTA5 16746,1291,,,492,0,26,24682,16746
ZCTA5 16748,2680,,,789,0,27,19794,16748
ZCTA5 16749,4141,,,1452,0,66,25542,16749
ZCTA5 16750,472,,,201,0,10,22314,16750
ZCTA5 16801,44641,,,10904,2356,994,30300,16801
ZCTA5 16802,11611,,,510,40,117,2499,16802
ZCTA5 16803,25901,,,8632,1324,801,34715,16803
ZCTA5 16820,1030,,,352,0,44,27148,16820
ZCTA5 16821,303,,,134,0,20,14657,16821
ZCTA5 16822,2115,,,731,0,37,22759,16822
ZCTA5 16823,30228,,,12007,94,235,33053,16823
ZCTA5 16825,230,,,92,0,0,31648,16825
ZCTA5 16826,433,,,126,0,18,37366,16826
ZCTA5 16827,4745,,,1941,110,230,41064,16827
ZCTA5 16828,4345,,,1741,0,246,35221,16828
ZCTA5 16829,702,,,266,0,9,25515,16829
ZCTA5 16830,13371,,,4734,8,152,25907,16830
ZCTA5 16832,671,,,193,0,46,31174,16832
ZCTA5 16833,5322,,,1935,8,68,23667,16833
ZCTA5 16834,198,,,73,0,14,19676,16834
ZCTA5 16835,204,,,100,0,5,29028,16835
ZCTA5 16836,1093,,,450,0,11,30327,16836
ZCTA5 16837,146,,,40,0,7,24241,16837
ZCTA5 16838,1833,,,741,0,20,25063,16838
ZCTA5 16839,762,,,203,0,0,21534,16839
ZCTA5 16840,553,,,261,0,0,23493,16840
ZCTA5 16841,6317,,,2733,2,92,28214,16841
ZCTA5 16843,627,,,185,0,0,21283,16843
ZCTA5 16844,2754,,,1158,5,78,30664,16844
ZCTA5 16845,950,,,234,0,4,28370,16845
ZCTA5 16847,263,,,87,0,0,30354,16847
ZCTA5 16848,376,,,175,0,3,21875,16848
ZCTA5 16849,319,,,124,0,3,35658,16849
ZCTA5 16851,929,,,453,39,0,34280,16851
ZCTA5 16852,340,,,98,0,19,24653,16852
ZCTA5 16853,180,,,101,0,0,26591,16853
ZCTA5 16854,622,,,308,4,8,31298,16854
ZCTA5 16855,182,,,51,0,0,16138,16855
ZCTA5 16858,3770,,,1418,17,77,26730,16858
ZCTA5 16859,548,,,256,0,4,31458,16859
ZCTA5 16860,226,,,19,0,17,23625,16860
ZCTA5 16861,297,,,108,0,5,20000,16861
ZCTA5 16863,700,,,245,0,4,21983,16863
ZCTA5 16865,1785,,,774,0,36,33427,16865
ZCTA5 16866,9959,,,3053,0,57,27380,16866
ZCTA5 16868,297,,,100,0,0,27208,16868
ZCTA5 16870,7302,,,3104,14,183,40752,16870
ZCTA5 16871,40,,,24,0,0,29167,16871
ZCTA5 16872,1781,,,405,0,82,24596,16872
ZCTA5 16874,1388,,,538,0,8,30377,16874
ZCTA5 16875,4055,,,1467,1,92,33143,16875
ZCTA5 16876,310,,,96,0,6,19375,16876
ZCTA5 16877,2049,,,849,2,66,32649,16877
ZCTA5 16878,1816,,,662,0,13,25040,16878
ZCTA5 16879,432,,,137,0,0,17500,16879
ZCTA5 16881,2338,,,928,0,14,28182,16881
ZCTA5 16882,467,,,85,0,15,33036,16882
ZCTA5 16901,10119,,,3508,9,311,26666,16901
ZCTA5 16911,407,,,156,0,2,22434,16911
ZCTA5 16912,2186,,,841,10,26,27188,16912
ZCTA5 16914,2050,,,740,0,92,24966,16914
ZCTA5 16915,5977,,,1925,0,118,26224,16915
ZCTA5 16917,1185,,,439,0,20,26101,16917
ZCTA5 16920,2046,,,632,0,16,21392,16920
ZCTA5 16921,454,,,132,0,3,23942,16921
ZCTA5 16922,1893,,,566,0,42,24375,16922
ZCTA5 16923,1558,,,432,0,28,22159,16923
ZCTA5 16925,3495,,,1229,0,33,27717,16925
ZCTA5 16926,962,,,392,0,16,31463,16926
ZCTA5 16927,586,,,156,0,6,20536,16927
ZCTA5 16928,1375,,,505,0,29,26122,16928
ZCTA5 16929,2515,,,959,13,62,26516,16929
ZCTA5 16930,1250,,,379,0,6,25901,16930
ZCTA5 16932,773,,,221,0,10,25347,16932
ZCTA5 16933,6783,,,2358,31,76,26359,16933
ZCTA5 16935,1278,,,509,0,23,29375,16935
ZCTA5 16936,1940,,,707,0,50,28384,16936
ZCTA5 16937,208,,,66,0,0,25469,16937
ZCTA5 16938,668,,,274,2,16,23750,16938
ZCTA5 16939,302,,,119,0,8,28973,16939
ZCTA5 16940,268,,,113,0,0,32500,16940
ZCTA5 16941,93,,,10,0,22,14750,16941
ZCTA5 16942,837,,,249,0,5,25650,16942
ZCTA5 16943,488,,,122,1,14,19583,16943
ZCTA5 16946,2467,,,889,16,28,24942,16946
ZCTA5 16947,4934,,,1616,5,48,25285,16947
ZCTA5 16948,1591,,,395,0,47,22944,16948
ZCTA5 16950,3291,,,894,5,98,20042,16950
ZCTA5 17002,769,,,137,0,82,26047,17002
ZCTA5 17003,11543,,,4401,20,242,28197,17003
ZCTA5 17004,4943,,,1132,7,215,26452,17004
ZCTA5 17005,323,,,132,0,20,32143,17005
ZCTA5 17006,1018,,,204,0,49,25641,17006
ZCTA5 17007,5924,,,2600,0,187,42994,17007
ZCTA5 17009,1987,,,864,0,19,32368,17009
ZCTA5 17011,36306,,,14179,137,733,36762,17011
ZCTA5 17013,36291,,,13246,78,764,31014,17013
ZCTA5 17015,20900,,,9784,8,537,38608,17015
ZCTA5 17016,890,,,185,0,0,40364,17016
ZCTA5 17017,1565,,,677,0,41,31838,17017
ZCTA5 17018,4475,,,2268,0,37,37764,17018
ZCTA5 17019,18392,,,8370,35,440,34177,17019
ZCTA5 17020,9449,,,3948,3,128,34266,17020
ZCTA5 17021,931,,,229,2,38,21726,17021
ZCTA5 17022,30556,,,12167,50,601,30721,17022
ZCTA5 17023,3480,,,1263,0,67,28949,17023
ZCTA5 17024,2056,,,810,0,57,32474,17024
ZCTA5 17025,17041,,,7641,26,340,36423,17025
ZCTA5 17026,3755,,,1510,0,155,39672,17026
ZCTA5 17027,2196,,,357,11,124,21336,17027
ZCTA5 17028,3879,,,1764,0,61,28694,17028
ZCTA5 17030,917,,,324,0,38,32344,17030
ZCTA5 17032,8100,,,3408,12,193,32228,17032
ZCTA5 17033,17568,,,5697,75,1662,34449,17033
ZCTA5 17034,2667,,,950,26,35,27097,17034
ZCTA5 17035,872,,,354,0,11,23705,17035
ZCTA5 17036,22618,,,10540,73,600,42135,17036
ZCTA5 17037,1025,,,282,0,21,29076,17037
ZCTA5 17038,8779,,,3606,0,211,33999,17038
ZCTA5 17040,2247,,,863,0,83,31250,17040
ZCTA5 17042,38072,,,14308,222,893,32145,17042
ZCTA5 17043,5706,,,2891,91,71,43071,17043
ZCTA5 17044,21047,,,8117,8,288,24257,17044
ZCTA5 17045,3185,,,1255,3,84,30777,17045
ZCTA5 17046,30815,,,11113,207,354,25939,17046
ZCTA5 17047,2781,,,738,5,105,26968,17047
ZCTA5 17048,3987,,,1197,10,179,28882,17048
ZCTA5 17049,3404,,,1229,0,65,26179,17049
ZCTA5 17050,37619,,,16472,94,860,45831,17050
ZCTA5 17051,4906,,,1822,0,86,24035,17051
ZCTA5 17052,1526,,,573,0,7,25492,17052
ZCTA5 17053,4812,,,2149,4,128,34104,17053
ZCTA5 17055,36034,,,15581,68,852,39492,17055
ZCTA5 17056,23,,,13,0,0,30536,17056
ZCTA5 17057,22857,,,9637,137,256,33096,17057
ZCTA5 17058,1832,,,663,0,47,25777,17058
ZCTA5 17059,7972,,,2587,8,194,26732,17059
ZCTA5 17060,1174,,,390,0,16,25833,17060
ZCTA5 17061,7104,,,2417,11,299,31773,17061
ZCTA5 17062,4279,,,1502,8,114,32243,17062
ZCTA5 17063,3398,,,1218,0,175,25313,17063
ZCTA5 17064,806,,,343,0,5,44636,17064
ZCTA5 17065,4153,,,1699,5,135,32213,17065
ZCTA5 17066,5391,,,1834,0,19,22955,17066
ZCTA5 17067,15259,,,5850,0,273,31332,17067
ZCTA5 17068,4180,,,1523,38,125,31986,17068
ZCTA5 17069,128,,,26,0,5,30341,17069
ZCTA5 17070,15722,,,7113,80,224,40072,17070
ZCTA5 17071,118,,,32,0,6,35000,17071
ZCTA5 17073,5639,,,2219,11,167,32719,17073
ZCTA5 17074,7092,,,2732,5,145,30367,17074
ZCTA5 17075,94,,,39,0,0,26406,17075
ZCTA5 17078,21391,,,9405,61,437,33421,17078
ZCTA5 17080,256,,,106,0,4,36111,17080
ZCTA5 17081,372,,,157,0,0,27635,17081
ZCTA5 17082,3192,,,1168,0,137,27870,17082
ZCTA5 17083,51,,,34,0,0,61250,17083
ZCTA5 17084,4423,,,1330,13,83,31382,17084
ZCTA5 17086,2409,,,1023,0,44,30478,17086
ZCTA5 17087,2659,,,1161,0,86,33549,17087
ZCTA5 17088,1037,,,383,0,27,38250,17088
ZCTA5 17090,5662,,,2534,0,235,34763,17090
ZCTA5 17093,1421,,,509,0,0,29479,17093
ZCTA5 17094,2564,,,936,0,70,27996,17094
ZCTA5 17097,842,,,237,0,26,27536,17097
ZCTA5 17098,2307,,,675,0,56,28250,17098
ZCTA5 17099,1140,,,460,0,15,24000,17099
ZCTA5 17101,1865,,,523,45,58,16162,17101
ZCTA5 17102,7493,,,2655,107,168,31426,17102
ZCTA5 17103,12080,,,2948,630,185,22418,17103
ZCTA5 17104,19907,,,5231,784,282,21935,17104
ZCTA5 17109,23530,,,9777,296,300,33011,17109
ZCTA5 17110,25480,,,9489,352,534,34897,17110
ZCTA5 17111,32603,,,13685,240,594,36686,17111
ZCTA5 17112,35694,,,15941,85,890,42133,17112
ZCTA5 17113,10727,,,3149,223,133,26942,17113
ZCTA5 17201,25835,,,9723,52,379,30935,17201
ZCTA5 17202,29600,,,11971,12,522,34320,17202
ZCTA5 17210,143,,,87,0,0,54087,17210
ZCTA5 17211,399,,,158,0,9,29750,17211
ZCTA5 17212,785,,,310,0,10,31071,17212
ZCTA5 17213,557,,,154,0,28,23813,17213
ZCTA5 17214,934,,,272,0,10,30670,17214
ZCTA5 17215,304,,,114,0,13,30302,17215
ZCTA5 17217,219,,,90,0,5,19938,17217
ZCTA5 17219,384,,,53,0,10,23000,17219
ZCTA5 17220,399,,,105,5,15,21683,17220
ZCTA5 17221,581,,,134,0,18,26023,17221
ZCTA5 17222,11602,,,4217,0,89,31483,17222
ZCTA5 17223,273,,,68,0,3,24688,17223
ZCTA5 17224,1827,,,682,0,34,27221,17224
ZCTA5 17225,20068,,,8473,0,467,32982,17225
ZCTA5 17228,1135,,,417,0,20,30912,17228
ZCTA5 17229,1220,,,428,0,12,26283,17229
ZCTA5 17233,5242,,,1808,0,66,29110,17233
ZCTA5 17235,980,,,282,0,58,50540,17235
ZCTA5 17236,8518,,,3331,0,159,28867,17236
ZCTA5 17237,1993,,,895,0,34,28125,17237
ZCTA5 17238,1612,,,616,0,60,25875,17238
ZCTA5 17239,247,,,72,4,14,28906,17239
ZCTA5 17240,3985,,,1245,0,119,36028,17240
ZCTA5 17241,11910,,,4542,34,308,29531,17241
ZCTA5 17243,1369,,,477,0,24,24694,17243
ZCTA5 17244,2431,,,839,0,79,30538,17244
ZCTA5 17246,175,,,85,0,0,37788,17246
ZCTA5 17247,393,,,28,0,0,19786,17247
ZCTA5 17249,432,,,143,0,4,24844,17249
ZCTA5 17251,137,,,61,6,0,31563,17251
ZCTA5 17252,3690,,,1379,0,117,31175,17252
ZCTA5 17253,283,,,88,4,5,30000,17253
ZCTA5 17254,88,,,0,0,2,2499,17254
ZCTA5 17255,1049,,,348,0,25,35139,17255
ZCTA5 17256,211,,,117,0,16,28750,17256
ZCTA5 17257,29238,,,10601,99,799,28142,17257
ZCTA5 17260,1106,,,319,0,17,20519,17260
ZCTA5 17261,284,,,0,0,0,9784,17261
ZCTA5 17262,1562,,,397,0,81,29283,17262
ZCTA5 17263,380,,,106,0,0,30938,17263
ZCTA5 17264,2400,,,805,0,29,25904,17264
ZCTA5 17265,621,,,333,0,4,31129,17265
ZCTA5 17266,494,,,198,3,3,31842,17266
ZCTA5 17267,2742,,,913,0,67,28911,17267
ZCTA5 17268,29426,,,11342,27,614,29633,17268
ZCTA5 17271,286,,,103,0,0,23750,17271
ZCTA5 17272,400,,,83,0,0,17198,17272
ZCTA5 17301,4315,,,1815,0,128,30896,17301
ZCTA5 17302,2564,,,1109,0,136,32500,17302
ZCTA5 17304,2906,,,1467,10,88,34641,17304
ZCTA5 17306,351,,,140,0,2,21125,17306
ZCTA5 17307,5964,,,2573,2,178,33901,17307
ZCTA5 17309,2085,,,624,0,101,33716,17309
ZCTA5 17311,174,,,75,0,0,20800,17311
ZCTA5 17313,11110,,,4856,26,123,33170,17313
ZCTA5 17314,6135,,,2098,8,152,32309,17314
ZCTA5 17315,26000,,,12533,12,345,32154,17315
ZCTA5 17316,8385,,,3960,3,222,36695,17316
ZCTA5 17317,697,,,281,0,1,30227,17317
ZCTA5 17318,541,,,324,0,0,22700,17318
ZCTA5 17319,11943,,,5389,0,192,36264,17319
ZCTA5 17320,7889,,,3406,8,110,36616,17320
ZCTA5 17321,2348,,,994,0,63,33974,17321
ZCTA5 17322,5910,,,2921,1,46,30931,17322
ZCTA5 17324,4206,,,1845,30,85,33047,17324
ZCTA5 17325,27928,,,8915,42,620,29007,17325
ZCTA5 17327,7568,,,2948,0,148,34517,17327
ZCTA5 17329,2453,,,1184,0,68,36417,17329
ZCTA5 17331,51636,,,22018,60,962,32438,17331
ZCTA5 17339,6935,,,3444,0,268,40728,17339
ZCTA5 17340,10884,,,4670,4,170,31930,17340
ZCTA5 17344,3624,,,1623,0,13,26886,17344
ZCTA5 17345,7829,,,4035,0,107,32381,17345
ZCTA5 17347,6697,,,3341,12,94,38812,17347
ZCTA5 17349,7154,,,3008,8,221,42462,17349
ZCTA5 17350,12876,,,4832,5,181,30302,17350
ZCTA5 17352,1252,,,556,0,24,32353,17352
ZCTA5 17353,3456,,,1355,0,100,32899,17353
ZCTA5 17355,274,,,125,0,9,40402,17355
ZCTA5 17356,21630,,,9372,17,368,31947,17356
ZCTA5 17360,6835,,,3114,1,125,39511,17360
ZCTA5 17361,6511,,,2447,0,182,41490,17361
ZCTA5 17362,13300,,,5676,6,260,32262,17362
ZCTA5 17363,9406,,,3981,15,136,33629,17363
ZCTA5 17364,3732,,,1698,0,34,32857,17364
ZCTA5 17365,2427,,,1069,0,56,35927,17365
ZCTA5 17366,5332,,,2269,31,60,34740,17366
ZCTA5 17368,7395,,,3356,0,94,33528,17368
ZCTA5 17370,5041,,,2417,0,122,36974,17370
ZCTA5 17371,261,,,123,0,0,28333,17371
ZCTA5 17372,4409,,,1793,10,40,30599,17372
ZCTA5 17401,17766,,,4301,483,145,16331,17401
ZCTA5 17402,37476,,,14009,99,821,33312,17402
ZCTA5 17403,39641,,,13207,237,616,26493,17403
ZCTA5 17404,35414,,,15022,204,413,31080,17404
ZCTA5 17406,23710,,,9823,132,464,31633,17406
ZCTA5 17407,2226,,,881,0,46,39813,17407
ZCTA5 17408,23512,,,9777,73,399,34468,17408
ZCTA5 17501,4251,,,1870,8,110,33039,17501
ZCTA5 17502,2750,,,1164,0,58,32367,17502
ZCTA5 17505,1837,,,344,0,94,27222,17505
ZCTA5 17508,530,,,221,0,0,44196,17508
ZCTA5 17509,5068,,,1101,0,187,29739,17509
ZCTA5 17512,17701,,,6405,176,377,28537,17512
ZCTA5 17516,4286,,,2304,0,135,37014,17516
ZCTA5 17517,16501,,,6982,12,434,30559,17517
ZCTA5 17518,1643,,,536,0,67,26890,17518
ZCTA5 17519,7147,,,2393,0,339,29461,17519
ZCTA5 17520,4696,,,2554,0,140,43981,17520
ZCTA5 17522,33978,,,13327,35,806,29088,17522
ZCTA5 17527,6310,,,1987,39,187,30617,17527
ZCTA5 17529,4370,,,888,0,77,31638,17529
ZCTA5 17532,2848,,,1174,0,44,33775,17532
ZCTA5 17535,2655,,,713,0,113,30742,17535
ZCTA5 17536,2725,,,637,0,239,30988,17536
ZCTA5 17538,6435,,,3037,3,259,34261,17538
ZCTA5 17540,10773,,,3956,41,457,32292,17540
ZCTA5 17543,44216,,,18298,24,1338,35296,17543
ZCTA5 17545,21897,,,8871,49,549,32017,17545
ZCTA5 17547,7381,,,3475,6,144,34524,17547
ZCTA5 17550,889,,,279,0,33,32926,17550
ZCTA5 17551,11411,,,4973,156,81,26131,17551
ZCTA5 17552,19845,,,9425,0,477,38316,17552
ZCTA5 17554,7794,,,3274,53,119,32467,17554
ZCTA5 17555,7431,,,2063,0,448,30570,17555
ZCTA5 17557,14298,,,4384,8,500,28339,17557
ZCTA5 17560,4644,,,1948,9,38,31175,17560
ZCTA5 17562,4546,,,1080,0,160,28645,17562
ZCTA5 17563,4080,,,1017,3,168,28058,17563
ZCTA5 17565,2758,,,1229,0,42,39893,17565
ZCTA5 17566,12567,,,4227,4,415,30907,17566
ZCTA5 17569,6441,,,3044,0,117,33369,17569
ZCTA5 17572,4893,,,808,0,268,26369,17572
ZCTA5 17578,7188,,,2848,0,86,31627,17578
ZCTA5 17579,6302,,,2277,44,191,30943,17579
ZCTA5 17581,846,,,406,0,7,31708,17581
ZCTA5 17582,2273,,,1029,0,74,38909,17582
ZCTA5 17584,10085,,,3834,0,119,30152,17584
ZCTA5 17601,52301,,,22303,104,1256,34587,17601
ZCTA5 17602,51069,,,17970,657,825,25824,17602
ZCTA5 17603,64494,,,23037,857,1082,29143,17603
ZCTA5 17606,416,,,43,0,0,18636,17606
ZCTA5 17701,43427,,,15329,534,642,24212,17701
ZCTA5 17702,10480,,,4365,22,123,31180,17702
ZCTA5 17721,1537,,,569,0,13,29049,17721
ZCTA5 17723,30,,,15,0,2,33750,17723
ZCTA5 17724,4816,,,1585,8,102,25279,17724
ZCTA5 17727,86,,,26,0,6,24107,17727
ZCTA5 17728,5019,,,2044,11,75,29885,17728
ZCTA5 17729,53,,,7,0,7,22500,17729
ZCTA5 17731,245,,,63,0,14,32292,17731
ZCTA5 17737,6378,,,2748,5,78,29015,17737
ZCTA5 17739,34,,,13,0,1,43750,17739
ZCTA5 17740,12526,,,4933,4,128,29090,17740
ZCTA5 17744,3132,,,1302,0,96,25828,17744
ZCTA5 17745,18753,,,6794,0,230,24748,17745
ZCTA5 17747,3439,,,1000,7,98,28365,17747
ZCTA5 17748,213,,,40,0,0,23309,17748
ZCTA5 17749,337,,,228,0,0,31111,17749
ZCTA5 17750,164,,,38,0,0,20250,17750
ZCTA5 17751,7082,,,2463,0,128,28061,17751
ZCTA5 17752,4649,,,1710,0,119,27956,17752
ZCTA5 17754,12471,,,5053,3,112,31421,17754
ZCTA5 17756,12242,,,4400,2,126,26265,17756
ZCTA5 17758,869,,,319,0,16,25931,17758
ZCTA5 17760,792,,,292,0,16,28194,17760
ZCTA5 17762,561,,,230,0,3,34861,17762
ZCTA5 17763,161,,,54,0,0,24167,17763
ZCTA5 17764,2183,,,610,2,10,20193,17764
ZCTA5 17765,1196,,,457,0,26,23725,17765
ZCTA5 17767,178,,,64,0,0,25536,17767
ZCTA5 17768,360,,,110,0,34,27065,17768
ZCTA5 17771,3206,,,1143,0,89,28577,17771
ZCTA5 17772,2577,,,1003,0,124,27144,17772
ZCTA5 17774,1399,,,520,0,18,26786,17774
ZCTA5 17776,242,,,78,3,0,25417,17776
ZCTA5 17777,7320,,,3111,3,145,29190,17777
ZCTA5 17778,82,,,14,0,3,21125,17778
ZCTA5 17779,311,,,116,0,0,34545,17779
ZCTA5 17801,15979,,,6030,10,341,26198,17801
ZCTA5 17810,5812,,,688,7,49,14638,17810
ZCTA5 17812,1276,,,443,0,36,23536,17812
ZCTA5 17813,2131,,,765,15,54,28075,17813
ZCTA5 17814,4984,,,1755,0,164,27404,17814
ZCTA5 17815,30375,,,10851,21,636,27538,17815
ZCTA5 17820,5471,,,2203,0,96,29624,17820
ZCTA5 17821,18356,,,6966,37,377,29888,17821
ZCTA5 17823,1203,,,463,2,18,28836,17823
ZCTA5 17824,3871,,,1575,2,40,33910,17824
ZCTA5 17827,685,,,308,0,0,27813,17827
ZCTA5 17829,230,,,72,1,7,24934,17829
ZCTA5 17830,1968,,,699,0,61,30893,17830
ZCTA5 17832,739,,,218,0,3,23194,17832
ZCTA5 17834,3350,,,1197,1,35,24842,17834
ZCTA5 17835,373,,,173,0,3,31087,17835
ZCTA5 17836,173,,,66,2,4,31458,17836
ZCTA5 17837,19942,,,5029,0,921,27601,17837
ZCTA5 17840,463,,,260,0,0,33036,17840
ZCTA5 17841,4827,,,1611,2,110,25064,17841
ZCTA5 17842,8660,,,3483,5,226,27778,17842
ZCTA5 17844,10151,,,4056,0,199,28604,17844
ZCTA5 17845,2043,,,698,15,51,24583,17845
ZCTA5 17846,3853,,,1412,4,73,26801,17846
ZCTA5 17847,11424,,,4783,0,221,27642,17847
ZCTA5 17850,793,,,433,0,20,28144,17850
ZCTA5 17851,7647,,,2644,1,72,22970,17851
ZCTA5 17853,3298,,,1198,4,110,29451,17853
ZCTA5 17855,1098,,,468,0,14,29519,17855
ZCTA5 17856,3202,,,1168,0,38,27256,17856
ZCTA5 17857,7380,,,2961,0,190,29574,17857
ZCTA5 17859,2814,,,1159,0,41,28979,17859
ZCTA5 17860,2559,,,1017,6,58,32048,17860
ZCTA5 17861,161,,,92,0,0,46641,17861
ZCTA5 17862,483,,,150,0,2,14732,17862
ZCTA5 17864,2258,,,672,0,86,25370,17864
ZCTA5 17865,140,,,26,0,2,37273,17865
ZCTA5 17866,10362,,,2454,23,60,21554,17866
ZCTA5 17867,119,,,43,0,4,23375,17867
ZCTA5 17868,1129,,,532,0,7,31833,17868
ZCTA5 17870,15311,,,6315,1,617,30857,17870
ZCTA5 17872,9178,,,3045,16,149,22509,17872
ZCTA5 17876,1926,,,630,0,28,26875,17876
ZCTA5 17878,1426,,,472,0,51,27237,17878
ZCTA5 17880,133,,,65,0,0,18958,17880
ZCTA5 17881,1498,,,644,0,34,25942,17881
ZCTA5 17884,215,,,79,0,5,11800,17884
ZCTA5 17885,214,,,120,0,0,28864,17885
ZCTA5 17886,1467,,,357,0,50,15465,17886
ZCTA5 17887,232,,,28,0,0,24122,17887
ZCTA5 17888,273,,,119,0,0,20833,17888
ZCTA5 17889,2537,,,1100,0,96,29044,17889
ZCTA5 17901,23126,,,8531,135,363,26966,17901
ZCTA5 17920,353,,,149,0,13,30987,17920
ZCTA5 17921,7556,,,2139,0,79,27548,17921
ZCTA5 17922,4663,,,2111,15,86,36144,17922
ZCTA5 17923,536,,,188,0,0,20682,17923
ZCTA5 17925,417,,,170,0,2,28958,17925
ZCTA5 17929,1563,,,667,4,0,27194,17929
ZCTA5 17930,441,,,173,0,0,27159,17930
ZCTA5 17931,8761,,,1807,15,39,21079,17931
ZCTA5 17933,146,,,71,0,0,58517,17933
ZCTA5 17934,413,,,146,0,4,24375,17934
ZCTA5 17935,1493,,,482,0,9,20444,17935
ZCTA5 17936,859,,,288,0,0,28529,17936
ZCTA5 17938,2358,,,978,8,60,34205,17938
ZCTA5 17941,808,,,332,0,19,28269,17941
ZCTA5 17943,105,,,48,0,0,46125,17943
ZCTA5 17944,154,,,74,0,4,36667,17944
ZCTA5 17945,168,,,67,0,0,26250,17945
ZCTA5 17948,4777,,,1350,4,41,20057,17948
ZCTA5 17949,322,,,101,3,9,17321,17949
ZCTA5 17951,258,,,77,0,0,36250,17951
ZCTA5 17952,197,,,84,0,0,24375,17952
ZCTA5 17953,487,,,208,2,3,28000,17953
ZCTA5 17954,4474,,,1574,0,29,26503,17954
ZCTA5 17957,352,,,149,0,0,26969,17957
ZCTA5 17959,1354,,,527,0,8,27935,17959
ZCTA5 17960,3955,,,1399,0,77,30000,17960
ZCTA5 17961,6471,,,2686,2,107,34771,17961
ZCTA5 17963,8852,,,3522,24,174,29919,17963
